 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,   quick_modified,    sorted,      8000,            10,    0.000968,  0.000096,  0.000101,  0.000097,        82644628.099174
SUCCESS,   quick_modified,    sorted,     16000,            10,    0.002075,  0.000206,  0.000215,  0.000208,        77108433.734940
SUCCESS,   quick_modified,    sorted,     32000,            10,    0.006454,  0.000441,  0.000793,  0.000645,        49581654.787729
SUCCESS,   quick_modified,    sorted,     64000,            10,    0.010280,  0.000936,  0.001212,  0.001028,        62256809.338521
SUCCESS,   quick_modified,    sorted,    128000,            10,    0.022665,  0.001850,  0.003209,  0.002267,        56474740.789764
SUCCESS,   quick_modified,    sorted,    256000,            10,    0.042967,  0.003943,  0.005453,  0.004297,        59580608.373868
SUCCESS,   quick_modified,    sorted,    512000,            10,    0.088918,  0.008374,  0.010277,  0.008892,        57581142.175937
SUCCESS,   quick_modified,    sorted,   1024000,            10,    0.179608,  0.017554,  0.019896,  0.017961,        57013050.643624
SUCCESS,   quick_modified,    sorted,   2048000,            10,    0.374374,  0.036964,  0.040213,  0.037437,        54704653.635135
SUCCESS,   quick_modified,    sorted,   4096000,            10,    0.782953,  0.077764,  0.080954,  0.078295,        52314762.188790
SUCCESS,   quick_modified,    sorted,   8192000,            10,    1.634453,  0.162906,  0.165185,  0.163445,        50120743.759533
SUCCESS,   quick_modified,    sorted,  16384000,            10,    3.408401,  0.339762,  0.342345,  0.340840,        48069461.310450
SUCCESS,   quick_modified,    sorted,  32768000,            10,    7.113521,  0.710625,  0.712334,  0.711352,        46064389.210350
SUCCESS,   quick_modified,  reversed,      1000,            10,    0.000223,  0.000022,  0.000025,  0.000022,        44843049.327354
SUCCESS,   quick_modified,  reversed,      2000,            10,    0.000510,  0.000047,  0.000064,  0.000051,        39215686.274510
SUCCESS,   quick_modified,  reversed,      4000,            10,    0.001058,  0.000101,  0.000130,  0.000106,        37807183.364839
SUCCESS,   quick_modified,  reversed,      8000,            10,    0.002414,  0.000223,  0.000359,  0.000241,        33140016.570008
SUCCESS,   quick_modified,  reversed,     16000,            10,    0.005814,  0.000487,  0.000798,  0.000581,        27519779.841761
SUCCESS,   quick_modified,  reversed,     32000,            10,    0.011634,  0.001024,  0.001378,  0.001163,        27505587.072374
SUCCESS,   quick_modified,  reversed,     64000,            10,    0.022877,  0.002092,  0.002474,  0.002288,        27975696.114001
SUCCESS,   quick_modified,  reversed,    128000,            10,    0.047620,  0.004500,  0.005654,  0.004762,        26879462.410752
SUCCESS,   quick_modified,  reversed,    256000,            10,    0.098401,  0.009483,  0.011369,  0.009840,        26015995.772401
SUCCESS,   quick_modified,  reversed,    512000,            10,    0.205392,  0.020218,  0.022303,  0.020539,        24927942.665732
SUCCESS,   quick_modified,  reversed,   1024000,            10,    0.430985,  0.042716,  0.044538,  0.043098,        23759527.593768
SUCCESS,   quick_modified,  reversed,   2048000,            10,    0.908266,  0.090323,  0.092895,  0.090827,        22548460.473033
SUCCESS,   quick_modified,  reversed,   4096000,            10,    1.906861,  0.190173,  0.192042,  0.190686,        21480328.141380
SUCCESS,   quick_modified,  reversed,   8192000,            10,    3.997089,  0.398926,  0.401500,  0.399709,        20494915.174518
SUCCESS,   quick_modified,  reversed,  16384000,            10,    8.321508,  0.831323,  0.833026,  0.832151,        19688739.108344
SUCCESS,   quick_modified,  reversed,  32768000,            10,   15.516528,  1.545684,  1.554788,  1.551653,        21118126.426221
